         7888148 function calls (7801200 primitive calls) in 16.864 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-278>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-279>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-27>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-27>:1(_nodes_or_number)
        1    0.000    0.000    0.000    0.000 <decorator-gen-280>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-281>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-281>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-282>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-282>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-283>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-284>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-285>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-285>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-286>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-286>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-287>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-288>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-289>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-289>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-28>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-290>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-290>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-291>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-292>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-293>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-293>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-294>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-294>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-295>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-296>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-297>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-297>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-298>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-298>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-299>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-29>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-29>:1(_nodes_or_number)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
